Model unknown

  Variables:
    V : Size=384, Index=AC_bus*time
        Key      : Lower : Value              : Upper : Fixed : Stale : Domain
          (1, 1) :  0.94 :  1.060000008185016 :  1.06 : False : False :  Reals
          (1, 2) :  0.94 :  1.060000008106149 :  1.06 : False : False :  Reals
          (1, 3) :  0.94 :  1.060000007928975 :  1.06 : False : False :  Reals
          (1, 4) :  0.94 : 1.0600000076272067 :  1.06 : False : False :  Reals
          (1, 5) :  0.94 : 1.0600000063907267 :  1.06 : False : False :  Reals
          (1, 6) :  0.94 :  1.060000005279627 :  1.06 : False : False :  Reals
          (1, 7) :  0.94 : 1.0600000060222328 :  1.06 : False : False :  Reals
          (1, 8) :  0.94 : 1.0600000056284171 :  1.06 : False : False :  Reals
          (1, 9) :  0.94 : 1.0600000080229925 :  1.06 : False : False :  Reals
         (1, 10) :  0.94 : 1.0600000103877367 :  1.06 : False : False :  Reals
         (1, 11) :  0.94 : 1.0600000104647485 :  1.06 : False : False :  Reals
         (1, 12) :  0.94 : 1.0600000104675316 :  1.06 : False : False :  Reals
         (1, 13) :  0.94 : 1.0600000104646305 :  1.06 : False : False :  Reals
         (1, 14) :  0.94 : 1.0600000104659615 :  1.06 : False : False :  Reals
         (1, 15) :  0.94 : 1.0600000104672838 :  1.06 : False : False :  Reals
         (1, 16) :  0.94 : 1.0600000104663796 :  1.06 : False : False :  Reals
         (1, 17) :  0.94 : 1.0600000104667076 :  1.06 : False : False :  Reals
         (1, 18) :  0.94 : 1.0600000104652318 :  1.06 : False : False :  Reals
         (1, 19) :  0.94 : 1.0600000104553913 :  1.06 : False : False :  Reals
         (1, 20) :  0.94 : 1.0600000104496736 :  1.06 : False : False :  Reals
         (1, 21) :  0.94 : 1.0600000104646379 :  1.06 : False : False :  Reals
         (1, 22) :  0.94 : 1.0600000104659488 :  1.06 : False : False :  Reals
         (1, 23) :  0.94 : 1.0600000104647835 :  1.06 : False : False :  Reals
         (1, 24) :  0.94 :  1.060000010422941 :  1.06 : False : False :  Reals
          (2, 1) :  0.94 : 1.0520473658653864 :  1.06 : False : False :  Reals
          (2, 2) :  0.94 :  1.052131920790798 :  1.06 : False : False :  Reals
          (2, 3) :  0.94 : 1.0524088167308145 :  1.06 : False : False :  Reals
          (2, 4) :  0.94 : 1.0527479223081373 :  1.06 : False : False :  Reals
          (2, 5) :  0.94 : 1.0532223331949926 :  1.06 : False : False :  Reals
          (2, 6) :  0.94 : 1.0535009153387673 :  1.06 : False : False :  Reals
          (2, 7) :  0.94 : 1.0532293149147482 :  1.06 : False : False :  Reals
          (2, 8) :  0.94 :  1.053272248375096 :  1.06 : False : False :  Reals
          (2, 9) :  0.94 : 1.0522412004608483 :  1.06 : False : False :  Reals
         (2, 10) :  0.94 :  1.045917898904521 :  1.06 : False : False :  Reals
         (2, 11) :  0.94 : 1.0451750625672978 :  1.06 : False : False :  Reals
         (2, 12) :  0.94 : 1.0450387010107627 :  1.06 : False : False :  Reals
         (2, 13) :  0.94 : 1.0450994556435516 :  1.06 : False : False :  Reals
         (2, 14) :  0.94 :  1.045062449364819 :  1.06 : False : False :  Reals
         (2, 15) :  0.94 : 1.0450352246131067 :  1.06 : False : False :  Reals
         (2, 16) :  0.94 : 1.0450192692826499 :  1.06 : False : False :  Reals
         (2, 17) :  0.94 : 1.0450538757805239 :  1.06 : False : False :  Reals
         (2, 18) :  0.94 : 1.0450974095303394 :  1.06 : False : False :  Reals
         (2, 19) :  0.94 :  1.045467728940024 :  1.06 : False : False :  Reals
         (2, 20) :  0.94 :  1.045686324071885 :  1.06 : False : False :  Reals
         (2, 21) :  0.94 : 1.0452772642052732 :  1.06 : False : False :  Reals
         (2, 22) :  0.94 : 1.0452803625357707 :  1.06 : False : False :  Reals
         (2, 23) :  0.94 : 1.0453762727720826 :  1.06 : False : False :  Reals
         (2, 24) :  0.94 : 1.0467975052708178 :  1.06 : False : False :  Reals
          (3, 1) :  0.94 :  1.046686208710969 :  1.06 : False : False :  Reals
          (3, 2) :  0.94 : 1.0489630119258706 :  1.06 : False : False :  Reals
          (3, 3) :  0.94 : 1.0564500442329028 :  1.06 : False : False :  Reals
          (3, 4) :  0.94 : 1.0596170639137168 :  1.06 : False : False :  Reals
          (3, 5) :  0.94 :  1.059617111036692 :  1.06 : False : False :  Reals
          (3, 6) :  0.94 : 1.0596171137931878 :  1.06 : False : False :  Reals
          (3, 7) :  0.94 :  1.059617112848339 :  1.06 : False : False :  Reals
          (3, 8) :  0.94 :  1.059617114103276 :  1.06 : False : False :  Reals
          (3, 9) :  0.94 :  1.055343481555517 :  1.06 : False : False :  Reals
         (3, 10) :  0.94 : 1.0159908118963903 :  1.06 : False : False :  Reals
         (3, 11) :  0.94 : 1.0133404524556158 :  1.06 : False : False :  Reals
         (3, 12) :  0.94 : 1.0125940557487476 :  1.06 : False : False :  Reals
         (3, 13) :  0.94 : 1.0132825863198593 :  1.06 : False : False :  Reals
         (3, 14) :  0.94 : 1.0130725063083883 :  1.06 : False : False :  Reals
         (3, 15) :  0.94 : 1.0127548376691962 :  1.06 : False : False :  Reals
         (3, 16) :  0.94 : 1.0126496775035876 :  1.06 : False : False :  Reals
         (3, 17) :  0.94 :  1.012726140497611 :  1.06 : False : False :  Reals
         (3, 18) :  0.94 :  1.012775690932228 :  1.06 : False : False :  Reals
         (3, 19) :  0.94 : 1.0137332972932327 :  1.06 : False : False :  Reals
         (3, 20) :  0.94 : 1.0142330336449066 :  1.06 : False : False :  Reals
         (3, 21) :  0.94 : 1.0128898769844092 :  1.06 : False : False :  Reals
         (3, 22) :  0.94 : 1.0124644834438619 :  1.06 : False : False :  Reals
         (3, 23) :  0.94 :  1.012847315065503 :  1.06 : False : False :  Reals
         (3, 24) :  0.94 :  1.017884611657141 :  1.06 : False : False :  Reals
          (4, 1) :  0.94 : 1.0473104245782925 :  1.06 : False : False :  Reals
          (4, 2) :  0.94 :  1.048580156985835 :  1.06 : False : False :  Reals
          (4, 3) :  0.94 : 1.0496111093058702 :  1.06 : False : False :  Reals
          (4, 4) :  0.94 :  1.049609613130931 :  1.06 : False : False :  Reals
          (4, 5) :  0.94 : 1.0469246544426813 :  1.06 : False : False :  Reals
          (4, 6) :  0.94 : 1.0455283014348984 :  1.06 : False : False :  Reals
          (4, 7) :  0.94 : 1.0457551640718032 :  1.06 : False : False :  Reals
          (4, 8) :  0.94 :   1.04441387779146 :  1.06 : False : False :  Reals
          (4, 9) :  0.94 :  1.046562399996684 :  1.06 : False : False :  Reals
         (4, 10) :  0.94 : 1.0256191172014233 :  1.06 : False : False :  Reals
         (4, 11) :  0.94 : 1.0288933929871147 :  1.06 : False : False :  Reals
         (4, 12) :  0.94 : 1.0286586544800138 :  1.06 : False : False :  Reals
         (4, 13) :  0.94 :  1.028882270903634 :  1.06 : False : False :  Reals
         (4, 14) :  0.94 : 1.0287828936180974 :  1.06 : False : False :  Reals
         (4, 15) :  0.94 : 1.0286516960942778 :  1.06 : False : False :  Reals
         (4, 16) :  0.94 : 1.0287518873167611 :  1.06 : False : False :  Reals
         (4, 17) :  0.94 : 1.0287317110277208 :  1.06 : False : False :  Reals
         (4, 18) :  0.94 :  1.028925776727394 :  1.06 : False : False :  Reals
         (4, 19) :  0.94 : 1.0299891962230687 :  1.06 : False : False :  Reals
         (4, 20) :  0.94 : 1.0306786516014999 :  1.06 : False : False :  Reals
         (4, 21) :  0.94 :  1.029166948275549 :  1.06 : False : False :  Reals
         (4, 22) :  0.94 :  1.029155866180638 :  1.06 : False : False :  Reals
         (4, 23) :  0.94 : 1.0292556692790695 :  1.06 : False : False :  Reals
         (4, 24) :  0.94 : 1.0419529564669472 :  1.06 : False : False :  Reals
          (5, 1) :  0.94 : 1.0482872336936218 :  1.06 : False : False :  Reals
          (5, 2) :  0.94 :  1.048909562487516 :  1.06 : False : False :  Reals
          (5, 3) :  0.94 : 1.0495932202616816 :  1.06 : False : False :  Reals
          (5, 4) :  0.94 : 1.0497694488321123 :  1.06 : False : False :  Reals
          (5, 5) :  0.94 : 1.0487646620076922 :  1.06 : False : False :  Reals
          (5, 6) :  0.94 : 1.0482315280777383 :  1.06 : False : False :  Reals
          (5, 7) :  0.94 : 1.0482452701472493 :  1.06 : False : False :  Reals
          (5, 8) :  0.94 :  1.047457896522763 :  1.06 : False : False :  Reals
          (5, 9) :  0.94 : 1.0492005768731474 :  1.06 : False : False :  Reals
         (5, 10) :  0.94 : 1.0590990652161119 :  1.06 : False : False :  Reals
         (5, 11) :  0.94 : 1.0599999684180275 :  1.06 : False : False :  Reals
         (5, 12) :  0.94 : 1.0598085213798805 :  1.06 : False : False :  Reals
         (5, 13) :  0.94 :  1.059999979373637 :  1.06 : False : False :  Reals
         (5, 14) :  0.94 : 1.0599988377084448 :  1.06 : False : False :  Reals
         (5, 15) :  0.94 : 1.0597988114612715 :  1.06 : False : False :  Reals
         (5, 16) :  0.94 : 1.0599194784648736 :  1.06 : False : False :  Reals
         (5, 17) :  0.94 : 1.0598931403813432 :  1.06 : False : False :  Reals
         (5, 18) :  0.94 : 1.0599999707861647 :  1.06 : False : False :  Reals
         (5, 19) :  0.94 : 1.0600000052846799 :  1.06 : False : False :  Reals
         (5, 20) :  0.94 : 1.0600000069215778 :  1.06 : False : False :  Reals
         (5, 21) :  0.94 : 1.0599999930391597 :  1.06 : False : False :  Reals
         (5, 22) :  0.94 : 1.0599999908615318 :  1.06 : False : False :  Reals
         (5, 23) :  0.94 :  1.059999995912286 :  1.06 : False : False :  Reals
         (5, 24) :  0.94 : 1.0600000026751215 :  1.06 : False : False :  Reals
          (6, 1) :  0.94 : 1.0599999884999205 :  1.06 : False : False :  Reals
          (6, 2) :  0.94 :  1.059999977651057 :  1.06 : False : False :  Reals
          (6, 3) :  0.94 : 1.0599999726858733 :  1.06 : False : False :  Reals
          (6, 4) :  0.94 : 1.0599999684703185 :  1.06 : False : False :  Reals
          (6, 5) :  0.94 : 1.0599999654734475 :  1.06 : False : False :  Reals
          (6, 6) :  0.94 : 1.0599999639690796 :  1.06 : False : False :  Reals
          (6, 7) :  0.94 : 1.0599999671068385 :  1.06 : False : False :  Reals
          (6, 8) :  0.94 : 1.0599999709033936 :  1.06 : False : False :  Reals
          (6, 9) :  0.94 : 1.0599999955257724 :  1.06 : False : False :  Reals
         (6, 10) :  0.94 :  1.060000008548125 :  1.06 : False : False :  Reals
         (6, 11) :  0.94 : 1.0600000086750068 :  1.06 : False : False :  Reals
         (6, 12) :  0.94 :  1.060000008045437 :  1.06 : False : False :  Reals
         (6, 13) :  0.94 : 1.0600000085797903 :  1.06 : False : False :  Reals
         (6, 14) :  0.94 : 1.0600000083971821 :  1.06 : False : False :  Reals
         (6, 15) :  0.94 : 1.0600000080734409 :  1.06 : False : False :  Reals
